id,screen_area,feature,user_story,expected_behaviour,source_refs,status,test_method,test_result,error_type,error_detail,fix_summary,fix_refs,retest_result
F001,POS checkout,Hardware (USB wedge) barcode scan to cart,"As a cashier, I want to scan a product barcode with the USB scanner so the item drops into the cart instantly without touching the keyboard.","A connected USB 1D/2D scanner (PM-BS007D) types the code + Enter; a global keydown listener detects scanner-speed bursts (<50ms) and on Enter looks up barcode OR quick_code in the local DB and adds the item; unknown code shows a toast, not a dead-end.","web/src/components/Scanner.tsx:146; web/src/hooks/usePosBilling.ts:204-237",retested-pass,"vitest usePosBilling.test.ts + code trace",pass,none,,,,"pass — supported as-is"
F002,POS checkout,Manual/scan entry box (qty*code),"As a cashier, I want to type or scan a code (with optional N* quantity) so I can add items when a scan is ambiguous.","Scan input accepts barcode/quick_code/name; supports N*code to add N units; resolves in-memory then DB; not-found shows toast.","web/src/hooks/usePosBilling.ts:150-201",retested-pass,"usePosBilling.test.ts + code trace",pass,none,,,,"pass — supported as-is"
F003,Product registration,Camera barcode capture,"As an admin, I want to scan a barcode with the device camera while registering a product so I can assign it without typing.","Opens camera; on a supported browser decodes via BarcodeDetector and fills the field; on an UNSUPPORTED browser it must clearly say so and point to the USB scanner / manual entry — not silently do nothing.","web/src/components/Scanner.tsx:62-93; web/src/components/catalog/RegisterProductModal.tsx:489",retested-pass,"Scanner.test.tsx (asserts notice renders when BarcodeDetector absent)",fail,ux:states-are-features,"On Safari/Firefox (no BarcodeDetector) the viewfinder showed but never scanned and gave no message — a silent dead state.","Show a clear 'use Chrome/Edge, a USB scanner, or type the code' notice in the viewfinder when BarcodeDetector is unavailable, instead of a silent console.warn; updated the test that previously asserted the silent behaviour.","web/src/components/Scanner.tsx:14,92-95,138-150; web/src/__tests__/components/Scanner.test.tsx:150-162","pass — notice renders; full suite 195 green"
F004,POS checkout / Receipt,Thermal receipt via Web Serial (ESC/POS),"As a cashier, I want the receipt to print on the XP-365B thermal printer with one tap so I can hand it over and serve the next customer.","render() produces ESC/POS bytes from the shared receipt model; bytes are written over Web Serial; a previously-granted printer reconnects silently on load so there is no per-sale prompt.","web/src/services/webSerialPrinter.ts; web/src/utils/thermalReceipt.tsx; web/src/hooks/useThermalPrinter.ts; web/src/components/pos/ReceiptModal.tsx",retested-pass,"vitest webSerialPrinter.test.ts (9) + thermalReceipt.test.tsx (5)",pass,none,,,,"pass — supported"
F005,POS checkout / Receipt,System-print fallback,"As a cashier on a machine without a serial printer, I want printing to still work so the queue never stalls.","If Web Serial is unsupported, the printer is not yet picked, or a real error occurs, printing falls back to the OS print dialog automatically; canceling the picker aborts cleanly (no double prompt).","web/src/components/pos/ReceiptModal.tsx:53-84; web/src/components/pos/ReceiptPaper.tsx (printThermalReceipt); web/src/services/webSerialPrinter.ts (isUserCancellation)",retested-pass,"Code trace of handleSmartPrint routing + isUserCancellation unit test",pass,none,,,,"pass — supported"
F006,Profile / Printer setup,Connect & test thermal printer,"As an admin, I want to connect the thermal printer once and print a test slip so I know it works before a shift.","Settings modal detects Web Serial, connects (one-time native picker), persists the port, lets the admin set paper width (58/80mm), baud, and cash-drawer pin, and prints a test receipt; unsupported browsers get a clear notice.","web/src/components/profile/ThermalPrinterModal.tsx; web/src/hooks/useThermalPrinter.ts; web/src/stores/settingsStore.ts",retested-pass,"Code trace + transport unit tests + next build",pass,none,,,,"pass — supported"
F007,Sales history,Reprint past invoice,"As a cashier/manager, I want to reprint an old receipt so I can re-issue a bill.","Invoice detail modal renders the same receipt and reprints via the shared print path.","web/src/components/history/InvoiceDetailModal.tsx:6,58",retested-pass,"Code trace (uses unified printThermalReceipt + model)",pass,none,,,,"pass — supported"
F008,Receipt,Preview matches printed output,"As a cashier, I want the on-screen receipt preview to match what actually prints so I trust what I hand over.","Preview HTML, system-print HTML, and thermal ESC/POS all derive rows/values/labels from one buildReceiptModel — content cannot drift.","web/src/utils/receiptModel.ts; web/src/components/pos/ReceiptPaper.tsx; web/src/utils/thermalReceipt.tsx",retested-pass,"thermalReceipt.test.tsx + single-source construction",pass,none,,,,"pass — supported"
F009,Stocks,Barcode label printing,"As a staff member, I want to print a product barcode label on the XP-365B so I can tag stock.","Label modal renders an EAN-13/CODE128 barcode (auto-detected) + QR via jsbarcode/qrcode and prints a 58x80mm label through the OS print dialog.","web/src/components/stocks/BarcodeLabelModal.tsx:29-72,76-173",retested-pass,"Code trace (jsbarcode render + window.print 58x80mm @page)",pass,none,,,,"pass — supported"
F010,POS checkout / Cash payment,Cash drawer kick,"As a cashier, I want the cash drawer (PM-CD094) to pop open automatically when I complete a cash sale so I can give change without fumbling for a key.","On a cash sale, printing the receipt over Web Serial sends the ESC/POS drawer-kick to the printer the drawer is wired to, so the drawer opens; admin can also open it on demand from settings, and choose the 2-pin/5-pin kick.","web/src/utils/thermalReceipt.tsx; web/src/hooks/useThermalPrinter.ts; web/src/stores/settingsStore.ts; web/src/components/profile/ThermalPrinterModal.tsx",retested-pass,"vitest thermalReceipt.test.tsx (drawer-kick + cash-sale prepend assertions)",fail,logic,"The purchased cash drawer was NOT supported: the web app never emitted a drawer-kick command, so a cash sale could not open the drawer.","Added ESC/POS drawer kick via react-thermal-printer's <Cashdraw>: auto-fired on cash sales when printing over Web Serial, plus an on-demand 'Open Cash Drawer' action and a 2pin/5pin setting. NOTE: only fires on the Web Serial path; the system-print path opens the drawer via the printer driver's setting.","web/src/utils/thermalReceipt.tsx:1-13,21,95-104; web/src/hooks/useThermalPrinter.ts:14-40,75-92; web/src/stores/settingsStore.ts; web/src/components/profile/ThermalPrinterModal.tsx","pass — tests assert ESC p (0x1B 0x70) present on cash receipts/on-demand and absent otherwise; 195 green"
F011,Terminal / environment,Windows touch terminal + Web Serial capability,"As an operator on the POSMAX i7 Windows terminal, I want the app and direct printing to work in the installed browser.","App runs in Chrome/Edge on Windows; Web Serial is feature-detected and, when absent, the app degrades to system print rather than erroring.","web/src/services/webSerialPrinter.ts:18-26 (isWebSerialSupported); web/src/hooks/useThermalPrinter.ts",retested-pass,"webSerialPrinter.test.ts (support detection) + graceful fallback path",pass,none,,,,"pass — supported on Chrome/Edge"
